Entity,Continent,Hemisphere,Year,Average monthly precipitation,ghgEmissions,temperature_anomaly,Annual CO2 emissions (per capita),Location,pop
Angola,Africa,Southern Hemisphere,1970,7.935300471,,0.09,0.6074,Central,5926330
Angola,Africa,Southern Hemisphere,1971,7.98655249,,-0.018333333,0.5637,Central,
Angola,Africa,Southern Hemisphere,1972,8.2154988,,0.195833333,0.7202,Central,
Angola,Africa,Southern Hemisphere,1973,8.298343345,,0.2275,0.7501,Central,
Angola,Africa,Southern Hemisphere,1974,8.811151848,,0.033333333,0.7197,Central,
Angola,Africa,Southern Hemisphere,1975,9.003778056,,0.020833333,0.6277,Central,6637420
Angola,Africa,Southern Hemisphere,1976,9.156254025,,0.010833333,0.4506,Central,
Angola,Africa,Southern Hemisphere,1977,8.978325312,,0.236666667,0.4682,Central,
Angola,Africa,Southern Hemisphere,1978,8.532746379,,0.115,0.6931,Central,
Angola,Africa,Southern Hemisphere,1979,8.602229534,,0.249166667,0.6812,Central,
Angola,Africa,Southern Hemisphere,1980,7.28532451,,0.349166667,0.6395,Central,7638420
Angola,Africa,Southern Hemisphere,1981,7.479162653,,0.2725,0.6095,Central,
Angola,Africa,Southern Hemisphere,1982,8.023896224,,0.23,0.5177,Central,
Angola,Africa,Southern Hemisphere,1983,7.8129988,,0.385,0.5497,Central,
Angola,Africa,Southern Hemisphere,1984,8.336698713,,0.2775,0.5186,Central,
Angola,Africa,Southern Hemisphere,1985,8.221165853,,0.236666667,0.4694,Central,9045750
Angola,Africa,Southern Hemisphere,1986,8.849611388,,0.233333333,0.449,Central,
Angola,Africa,Southern Hemisphere,1987,7.567570091,,0.4075,0.5413,Central,
Angola,Africa,Southern Hemisphere,1988,9.071392215,,0.404166667,0.4562,Central,
Angola,Africa,Southern Hemisphere,1989,8.077267651,,0.273333333,0.4298,Central,
Angola,Africa,Southern Hemisphere,1990,8.102467952,43700000,0.371666667,0.4295,Central,10335050
Angola,Africa,Southern Hemisphere,1991,9.142894639,44370000,0.400833333,0.4133,Central,
Angola,Africa,Southern Hemisphere,1992,7.39209536,44720000,0.3075,0.4081,Central,
Angola,Africa,Southern Hemisphere,1993,8.000783253,45470000,0.2775,0.4396,Central,
Angola,Africa,Southern Hemisphere,1994,7.71953526,45660000,0.2625,0.2863,Central,
Angola,Africa,Southern Hemisphere,1995,6.390280457,49990000,0.3175,0.7851,Central,12105110
Angola,Africa,Southern Hemisphere,1996,7.692832528,46490000,0.390833333,0.7239,Central,
